,precision,recall,f1-score,support
melanoma,0.9847328244274809,0.9772727272727273,0.9809885931558935,132.0
psoriasis,0.9772727272727273,0.9847328244274809,0.9809885931558935,131.0
accuracy,0.9809885931558935,0.9809885931558935,0.9809885931558935,0.9809885931558935
macro avg,0.9810027758501041,0.9810027758501041,0.9809885931558935,263.0
weighted avg,0.9810169585443147,0.9809885931558935,0.9809885931558935,263.0
